ServiceTech,EnergyCarrier,DomEmissionFactor,ImpEmissionFactor,Year,EmissionType,EnergyService
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2026,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2026,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2026,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2027,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2027,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2027,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2027,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2027,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2028,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2028,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2028,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2028,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2028,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2029,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2029,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2029,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2029,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2029,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2030,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2030,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2030,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2030,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2030,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2031,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2031,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2031,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2031,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2031,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2032,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2032,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2032,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2032,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2032,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2033,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2033,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2033,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2033,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2033,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2034,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2034,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2034,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2034,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2034,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2035,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2035,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2035,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2035,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2035,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2036,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2036,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2036,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2036,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2036,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2037,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2037,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2037,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2037,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2037,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2038,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2038,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2038,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2038,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2038,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2039,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2039,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2039,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2039,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2039,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2040,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2040,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2040,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2040,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2040,GHG,STEEL
BF_BOF_CCUS,COKING_COAL,225.768051,276.09,2041,GHG,STEEL
BF_BOF_CCUS,THERMAL_COAL,187.1873679,198.218603,2041,GHG,STEEL
COREX_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2041,GHG,STEEL
BF_EAF_CCUS,COKING_COAL,225.768051,276.09,2041,GHG,STEEL
BF_EAF_CCUS,THERMAL_COAL,187.1873679,198.218603,2041,GHG,STEEL
