EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,EnergyDemand
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2036,15985.28198
RES_OTHER,ELECTRICITY,INDIA,NR,DL,RURAL,2037,0.036714676
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2037,16739.43554
RES_OTHER,ELECTRICITY,INDIA,NR,DL,RURAL,2038,0.022028806
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2038,17529.16856
RES_OTHER,ELECTRICITY,INDIA,NR,DL,RURAL,2039,0.013217283
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2039,18356.1596
RES_OTHER,ELECTRICITY,INDIA,NR,DL,RURAL,2040,0.00793037
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2040,19222.16642
RES_OTHER,ELECTRICITY,INDIA,NR,DL,RURAL,2041,0.004758222
RES_OTHER,ELECTRICITY,INDIA,NR,DL,URBAN,2041,20129.0297
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2024,3107.214304
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2024,3869.866854
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2025,3227.457603
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2025,4091.483827
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2026,3352.35409
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2026,4325.792214
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2027,3482.083833
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2027,4573.518818
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2028,3616.833871
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2028,4835.432066
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2029,3756.798481
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2029,5112.344388
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2030,3902.179455
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2030,5405.114741
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2031,4053.186397
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2031,5714.651274
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2032,4210.037021
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2032,6041.914139
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2033,4372.957467
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2033,6387.918478
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2034,4542.182625
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2034,6753.737564
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2035,4717.956475
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2035,7140.506135
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2036,4900.53244
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2036,7549.423913
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2037,5090.173749
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2037,7981.759323
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2038,5287.153816
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2038,8438.853431
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2039,5491.756639
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2039,8922.124103
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2040,5704.277202
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2040,9433.070398
RES_OTHER,ELECTRICITY,INDIA,NR,HR,RURAL,2041,5925.021908
RES_OTHER,ELECTRICITY,INDIA,NR,HR,URBAN,2041,9973.277228
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2024,770.6343364
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2024,176.2326559
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2025,777.5234571
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2025,184.8353063
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2026,784.4741634
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2026,193.8578879
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2027,791.4870058
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2027,203.3208993
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2028,798.5625398
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2028,213.2458398
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2029,805.701326
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2029,223.6552579
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2030,812.9039296
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2030,234.5728031
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2031,820.1709212
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2031,246.0232793
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2032,827.5028764
