ServiceTechCategory,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_BIOGAS,0.006570828
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_INDUCTION,0.04253464
FRIDGE,RURAL,INDIA,SR,AP,2036,FR_DIRECTCOOL,0.609108123
FRIDGE,RURAL,INDIA,SR,AP,2036,FR_FROSTFREE,0.390891877
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_LPG,0.946140059
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_BIOGAS,0.00619177
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_INDUCTION,0.047668171
FRIDGE,RURAL,INDIA,SR,AP,2037,FR_DIRECTCOOL,0.599106843
FRIDGE,RURAL,INDIA,SR,AP,2037,FR_FROSTFREE,0.400893157
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_LPG,0.941409358
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_BIOGAS,0.00583458
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_INDUCTION,0.052756062
FRIDGE,RURAL,INDIA,SR,AP,2038,FR_DIRECTCOOL,0.576734685
FRIDGE,RURAL,INDIA,SR,AP,2038,FR_FROSTFREE,0.423265315
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_LPG,0.936702311
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_BIOGAS,0.005497994
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_INDUCTION,0.057799694
FRIDGE,RURAL,INDIA,SR,AP,2039,FR_DIRECTCOOL,0.556158094
FRIDGE,RURAL,INDIA,SR,AP,2039,FR_FROSTFREE,0.443841906
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2039,CK_LPG,0.9320188
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2039,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2039,CK_BIOGAS,0.005180826
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2039,CK_INDUCTION,0.062800374
FRIDGE,RURAL,INDIA,SR,AP,2040,FR_DIRECTCOOL,0.536562124
FRIDGE,RURAL,INDIA,SR,AP,2040,FR_FROSTFREE,0.463437876
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2040,CK_LPG,0.927358706
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2040,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2040,CK_BIOGAS,0.004881955
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2040,CK_INDUCTION,0.06775934
FRIDGE,RURAL,INDIA,SR,AP,2041,FR_DIRECTCOOL,0.516886526
FRIDGE,RURAL,INDIA,SR,AP,2041,FR_FROSTFREE,0.483113474
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2041,CK_LPG,0.922721912
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2041,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2041,CK_BIOGAS,0.004600324
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2041,CK_INDUCTION,0.072677763
FRIDGE,URBAN,INDIA,SR,AP,2024,FR_DIRECTCOOL,0.781041075
FRIDGE,URBAN,INDIA,SR,AP,2024,FR_FROSTFREE,0.218958925
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2024,CK_LPG,0.970752359
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2024,CK_PNG,0.007352559
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2024,CK_BIOGAS,0.010204768
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2024,CK_INDUCTION,0.011690314
FRIDGE,URBAN,INDIA,SR,AP,2025,FR_DIRECTCOOL,0.768527212
FRIDGE,URBAN,INDIA,SR,AP,2025,FR_FROSTFREE,0.231472788
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2025,CK_LPG,0.966240154
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2025,CK_PNG,0.009975944
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2025,CK_BIOGAS,0.010070128
