EnergyStorTech,Year,StorLifetimeCycles
FOURHR_BATTERY,2021,3650.0
FOURHR_BATTERY,2022,3723.0
FOURHR_BATTERY,2023,3797.0
FOURHR_BATTERY,2024,3873.0
FOURHR_BATTERY,2025,3951.0
FOURHR_BATTERY,2026,4030.0
FOURHR_BATTERY,2027,4110.0
FOURHR_BATTERY,2028,4193.0
FOURHR_BATTERY,2029,4277.0
FOURHR_BATTERY,2030,4362.0
FOURHR_BATTERY,2031,4449.0
SIXHR_BATTERY,2021,3650.0
SIXHR_BATTERY,2022,3723.0
SIXHR_BATTERY,2023,3797.0
SIXHR_BATTERY,2024,3873.0
SIXHR_BATTERY,2025,3951.0
SIXHR_BATTERY,2026,4030.0
SIXHR_BATTERY,2027,4110.0
SIXHR_BATTERY,2028,4193.0
SIXHR_BATTERY,2029,4277.0
SIXHR_BATTERY,2030,4362.0
SIXHR_BATTERY,2031,4449.0
PUMPED_STOR,2021,50000.0
PUMPED_STOR,2022,50000.0
PUMPED_STOR,2023,50000.0
PUMPED_STOR,2024,50000.0
PUMPED_STOR,2025,50000.0
PUMPED_STOR,2026,50000.0
PUMPED_STOR,2027,50000.0
PUMPED_STOR,2028,50000.0
PUMPED_STOR,2029,50000.0
PUMPED_STOR,2030,50000.0
PUMPED_STOR,2031,50000.0
