EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NR,0.327052793
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,0.327052793
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,0.327052793
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,0.327052793
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,0.327052793
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
