ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration,
RURAL,Q1,INDIA,NER,AS,2021,0.765228235,
RURAL,Q1,INDIA,NR,JK,2021,0.528194768,
RURAL,Q2,INDIA,NER,AS,2021,0.814600465,
RURAL,Q2,INDIA,NR,JK,2021,0.565215727,
RURAL,Q3,INDIA,NER,AS,2021,0.842304383,
RURAL,Q3,INDIA,NR,JK,2021,0.571425042,
RURAL,Q4,INDIA,NER,AS,2021,0.868937137,
RURAL,Q4,INDIA,NR,JK,2021,0.563747865,
RURAL,Q5,INDIA,NER,AS,2021,0.907981359,
RURAL,Q5,INDIA,NR,JK,2021,0.469394421,
URBAN,Q1,INDIA,NER,AS,2021,0.902525088,
URBAN,Q1,INDIA,NR,JK,2021,0.575300931,
URBAN,Q2,INDIA,NER,AS,2021,0.925602458,
URBAN,Q2,INDIA,NR,JK,2021,0.515606883,
URBAN,Q3,INDIA,NER,AS,2021,0.928442699,
URBAN,Q3,INDIA,NR,JK,2021,0.446890739,
URBAN,Q4,INDIA,NER,AS,2021,0.917797621,
URBAN,Q4,INDIA,NR,JK,2021,0.347813834,
URBAN,Q5,INDIA,NER,AS,2021,0.844819427,
URBAN,Q5,INDIA,NR,JK,2021,0.19030842,
RURAL,Q1,INDIA,NER,AS,2022,0.784938459,
RURAL,Q1,INDIA,NR,JK,2022,0.537905071,
RURAL,Q2,INDIA,NER,AS,2022,0.830563839,
RURAL,Q2,INDIA,NR,JK,2022,0.568696958,
RURAL,Q3,INDIA,NER,AS,2022,0.855798678,
RURAL,Q3,INDIA,NR,JK,2022,0.570692094,
RURAL,Q4,INDIA,NER,AS,2022,0.879704602,
RURAL,Q4,INDIA,NR,JK,2022,0.558274692,
RURAL,Q5,INDIA,NER,AS,2022,0.913396285,
RURAL,Q5,INDIA,NR,JK,2022,0.450096166,
URBAN,Q1,INDIA,NER,AS,2022,0.909423035,
URBAN,Q1,INDIA,NR,JK,2022,0.567699521,
URBAN,Q2,INDIA,NER,AS,2022,0.927583636,
URBAN,Q2,INDIA,NR,JK,2022,0.501124035,
URBAN,Q3,INDIA,NER,AS,2022,0.927278438,
URBAN,Q3,INDIA,NR,JK,2022,0.429201452,
URBAN,Q4,INDIA,NER,AS,2022,0.912137293,
URBAN,Q4,INDIA,NR,JK,2022,0.32793355,
URBAN,Q5,INDIA,NER,AS,2022,0.827599638,
URBAN,Q5,INDIA,NR,JK,2022,0.171680865,
RURAL,Q1,INDIA,NER,AS,2023,0.798568551,
RURAL,Q1,INDIA,NR,JK,2023,0.5438052,
RURAL,Q2,INDIA,NER,AS,2023,0.841444361,
RURAL,Q2,INDIA,NR,JK,2023,0.570248841,
RURAL,Q3,INDIA,NER,AS,2023,0.864894136,
RURAL,Q3,INDIA,NR,JK,2023,0.569377641,
RURAL,Q4,INDIA,NER,AS,2023,0.886841833,
RURAL,Q4,INDIA,NR,JK,2023,0.553801466,
RURAL,Q5,INDIA,NER,AS,2023,0.916682559,
RURAL,Q5,INDIA,NR,JK,2023,0.436568628,
URBAN,Q1,INDIA,NER,AS,2023,0.913808251,
URBAN,Q1,INDIA,NR,JK,2023,0.561827147,
URBAN,Q2,INDIA,NER,AS,2023,0.928386967,
URBAN,Q2,INDIA,NR,JK,2023,0.490883422,
URBAN,Q3,INDIA,NER,AS,2023,0.925720299,
URBAN,Q3,INDIA,NR,JK,2023,0.417099841,
URBAN,Q4,INDIA,NER,AS,2023,0.907122517,
URBAN,Q4,INDIA,NR,JK,2023,0.314733122,
URBAN,Q5,INDIA,NER,AS,2023,0.813656776,
URBAN,Q5,INDIA,NR,JK,2023,0.159903353,
RURAL,Q1,INDIA,NER,AS,2024,0.811203327,
RURAL,Q1,INDIA,NR,JK,2024,0.54905948,
RURAL,Q2,INDIA,NER,AS,2024,0.851404477,
RURAL,Q2,INDIA,NR,JK,2024,0.571145015,
RURAL,Q3,INDIA,NER,AS,2024,0.873135497,
RURAL,Q3,INDIA,NR,JK,2024,0.5674588,
RURAL,Q4,INDIA,NER,AS,2024,0.893204685,
RURAL,Q4,INDIA,NR,JK,2024,0.548831769,
RURAL,Q5,INDIA,NER,AS,2024,0.919333466,
RURAL,Q5,INDIA,NR,JK,2024,0.423021137,
URBAN,Q1,INDIA,NER,AS,2024,0.917548098,
URBAN,Q1,INDIA,NR,JK,2024,0.555519942,
URBAN,Q2,INDIA,NER,AS,2024,0.928628483,
URBAN,Q2,INDIA,NR,JK,2024,0.480527681,
URBAN,Q3,INDIA,NER,AS,2024,0.923594608,
URBAN,Q3,INDIA,NR,JK,2024,0.405158782,
URBAN,Q4,INDIA,NER,AS,2024,0.901470291,
URBAN,Q4,INDIA,NR,JK,2024,0.302013338,
URBAN,Q5,INDIA,NER,AS,2024,0.798919279,
URBAN,Q5,INDIA,NR,JK,2024,0.149011523,
RURAL,Q1,INDIA,NER,AS,2025,0.822872005,
RURAL,Q1,INDIA,NR,JK,2025,0.553678928,
RURAL,Q2,INDIA,NER,AS,2025,0.860485094,
RURAL,Q2,INDIA,NR,JK,2025,0.571424879,
RURAL,Q3,INDIA,NER,AS,2025,0.880566408,
RURAL,Q3,INDIA,NR,JK,2025,0.564990337,
RURAL,Q4,INDIA,NER,AS,2025,0.898836091,
RURAL,Q4,INDIA,NR,JK,2025,0.54343419,
RURAL,Q5,INDIA,NER,AS,2025,0.921382406,
RURAL,Q5,INDIA,NR,JK,2025,0.409565326,
URBAN,Q1,INDIA,NER,AS,2025,0.920679127,
URBAN,Q1,INDIA,NR,JK,2025,0.54885053,
URBAN,Q2,INDIA,NER,AS,2025,0.928332348,
URBAN,Q2,INDIA,NR,JK,2025,0.470134756,
URBAN,Q3,INDIA,NER,AS,2025,0.920919539,
URBAN,Q3,INDIA,NR,JK,2025,0.393443759,
URBAN,Q4,INDIA,NER,AS,2025,0.895198483,
URBAN,Q4,INDIA,NR,JK,2025,0.289814286,
URBAN,Q5,INDIA,NER,AS,2025,0.783455735,
URBAN,Q5,INDIA,NR,JK,2025,0.13897336,
RURAL,Q1,INDIA,NER,AS,2026,0.833709675,
RURAL,Q1,INDIA,NR,JK,2026,0.557732149,
RURAL,Q2,INDIA,NER,AS,2026,0.868805999,
RURAL,Q2,INDIA,NR,JK,2026,0.571125796,
RURAL,Q3,INDIA,NER,AS,2026,0.887292799,
RURAL,Q3,INDIA,NR,JK,2026,0.56198762,
RURAL,Q4,INDIA,NER,AS,2026,0.903823723,
RURAL,Q4,INDIA,NR,JK,2026,0.537598427,
RURAL,Q5,INDIA,NER,AS,2026,0.922873934,
RURAL,Q5,INDIA,NR,JK,2026,0.396124042,
URBAN,Q1,INDIA,NER,AS,2026,0.923259223,
URBAN,Q1,INDIA,NR,JK,2026,0.541795641,
URBAN,Q2,INDIA,NER,AS,2026,0.927512667,
URBAN,Q2,INDIA,NR,JK,2026,0.459637656,
URBAN,Q3,INDIA,NER,AS,2026,0.91768148,
URBAN,Q3,INDIA,NR,JK,2026,0.38185932,
URBAN,Q4,INDIA,NER,AS,2026,0.888260448,
URBAN,Q4,INDIA,NR,JK,2026,0.278011638,
URBAN,Q5,INDIA,NER,AS,2026,0.767187759,
URBAN,Q5,INDIA,NR,JK,2026,0.129630838,
RURAL,Q1,INDIA,NER,AS,2027,0.843720405,
RURAL,Q1,INDIA,NR,JK,2027,0.561215551,
RURAL,Q2,INDIA,NER,AS,2027,0.876382377,
RURAL,Q2,INDIA,NR,JK,2027,0.57027828,
RURAL,Q3,INDIA,NER,AS,2027,0.893333345,
RURAL,Q3,INDIA,NR,JK,2027,0.558500695,
RURAL,Q4,INDIA,NER,AS,2027,0.908187363,
RURAL,Q4,INDIA,NR,JK,2027,0.531393163,
RURAL,Q5,INDIA,NER,AS,2027,0.923824469,
