Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2026,URBAN,INDIA,NR,PB,14621000,3709945
2027,URBAN,INDIA,NR,PB,14820000,3776401
2021,RURAL,INDIA,NER,AS,29561000,6382655
2028,URBAN,INDIA,NR,PB,15011000,3841308
2022,RURAL,INDIA,NER,AS,29816000,6548959
2029,URBAN,INDIA,NR,PB,15204000,3907212
2023,RURAL,INDIA,NER,AS,30056000,6715752
2030,URBAN,INDIA,NR,PB,15401000,3974639
2024,RURAL,INDIA,NER,AS,30295000,6886127
2031,URBAN,INDIA,NR,PB,15597000,4042308
2025,RURAL,INDIA,NER,AS,30532000,7059922
2032,URBAN,INDIA,NR,PB,15783000,4107878
2026,RURAL,INDIA,NER,AS,30770000,7237903
2033,URBAN,INDIA,NR,PB,15962000,4172102
2027,RURAL,INDIA,NER,AS,30987000,7414901
2034,URBAN,INDIA,NR,PB,16145000,4237847
2028,RURAL,INDIA,NER,AS,31191000,7592691
2035,URBAN,INDIA,NR,PB,16327000,4303811
2029,RURAL,INDIA,NER,AS,31393000,7773916
2036,URBAN,INDIA,NR,PB,16510000,4370524
2030,RURAL,INDIA,NER,AS,31595000,7959137
2037,URBAN,INDIA,NR,PB,16694000,4437991
2031,RURAL,INDIA,NER,AS,31795000,8147926
2038,URBAN,INDIA,NR,PB,16884193,4507606
2032,RURAL,INDIA,NER,AS,31968000,8333823
2039,URBAN,INDIA,NR,PB,17076553,4578312
2033,RURAL,INDIA,NER,AS,32121000,8518409
2040,URBAN,INDIA,NR,PB,17271104,4650128
2034,RURAL,INDIA,NER,AS,32273000,8706615
2041,URBAN,INDIA,NR,PB,17467871,4723070
2035,RURAL,INDIA,NER,AS,32423000,8898234
2021,URBAN,INDIA,NR,HR,11923000,2867581
2036,RURAL,INDIA,NER,AS,32574000,9094154
2022,URBAN,INDIA,NR,HR,12253000,2964567
2037,RURAL,INDIA,NER,AS,32724000,9293904
2023,URBAN,INDIA,NR,HR,12580000,3061879
2038,RURAL,INDIA,NER,AS,32881452,9499995
2024,URBAN,INDIA,NR,HR,12910000,3160984
2039,RURAL,INDIA,NER,AS,33039660,9710656
2025,URBAN,INDIA,NR,HR,13244000,3262150
2040,RURAL,INDIA,NER,AS,33198630,9925988
2026,URBAN,INDIA,NR,HR,13582000,3365403
2041,RURAL,INDIA,NER,AS,33358365,10146095
2027,URBAN,INDIA,NR,HR,13914000,3468279
2028,URBAN,INDIA,NR,HR,14244000,3571763
2029,URBAN,INDIA,NR,HR,14577000,3677117
2021,RURAL,INDIA,ER,BR,107554000,21273521
2030,URBAN,INDIA,NR,HR,14914000,3784619
2022,RURAL,INDIA,ER,BR,109049000,21648687
2031,URBAN,INDIA,NR,HR,15255000,3894295
2023,RURAL,INDIA,ER,BR,110561000,22029717
2032,URBAN,INDIA,NR,HR,15591000,4003864
2024,RURAL,INDIA,ER,BR,112071000,22412860
2033,URBAN,INDIA,NR,HR,15926000,4114345
2025,RURAL,INDIA,ER,BR,113580000,22798326
2034,URBAN,INDIA,NR,HR,16264000,4226783
2026,RURAL,INDIA,ER,BR,115085000,23185523
2035,URBAN,INDIA,NR,HR,16606000,4341465
2027,RURAL,INDIA,ER,BR,116546000,23566367
2036,URBAN,INDIA,NR,HR,16950000,4457893
2028,RURAL,INDIA,ER,BR,117975000,23943207
2037,URBAN,INDIA,NR,HR,17294000,4575558
2029,RURAL,INDIA,ER,BR,119402000,24322097
2038,URBAN,INDIA,NR,HR,17659403,4700166
2030,RURAL,INDIA,ER,BR,120827000,24703044
2039,URBAN,INDIA,NR,HR,18032525,4828168
2031,RURAL,INDIA,ER,BR,122249000,25085853
2040,URBAN,INDIA,NR,HR,18413531,4959657
2032,RURAL,INDIA,ER,BR,123544000,25444991
2041,URBAN,INDIA,NR,HR,18802588,5094726
2033,RURAL,INDIA,ER,BR,124745000,25787002
2021,URBAN,INDIA,NR,DL,20271000,5125121
2034,RURAL,INDIA,ER,BR,125945000,26130981
2022,URBAN,INDIA,NR,DL,20680000,5257297
2035,RURAL,INDIA,ER,BR,127142000,26476520
2023,URBAN,INDIA,NR,DL,21094000,5392051
2036,RURAL,INDIA,ER,BR,128337000,26823832
2024,URBAN,INDIA,NR,DL,21506000,5527614
2037,RURAL,INDIA,ER,BR,129532000,27173344
2025,URBAN,INDIA,NR,DL,21917000,5664248
2038,RURAL,INDIA,ER,BR,130787338,27537771
2026,URBAN,INDIA,NR,DL,22325000,5801438
2039,RURAL,INDIA,ER,BR,132054840,27907086
2027,URBAN,INDIA,NR,DL,22738000,5941273
2040,RURAL,INDIA,ER,BR,133334627,28281354
2028,URBAN,INDIA,NR,DL,23152000,6082734
2041,RURAL,INDIA,ER,BR,134626817,28660641
2029,URBAN,INDIA,NR,DL,23564000,6225043
2030,URBAN,INDIA,NR,DL,23974000,6368203
2031,URBAN,INDIA,NR,DL,24381000,6511949
2021,RURAL,INDIA,WR,CG,21604000,4756547
2032,URBAN,INDIA,NR,DL,24790000,6657621
2022,RURAL,INDIA,WR,CG,21774000,4816517
2033,URBAN,INDIA,NR,DL,25198000,6804428
2023,RURAL,INDIA,WR,CG,21931000,4874057
2034,URBAN,INDIA,NR,DL,25605000,6952379
2024,RURAL,INDIA,WR,CG,22084000,4931138
2035,URBAN,INDIA,NR,DL,26013000,7102024
2025,RURAL,INDIA,WR,CG,22236000,4988424
2036,URBAN,INDIA,NR,DL,26421000,7253105
2026,RURAL,INDIA,WR,CG,22386000,5045689
2037,URBAN,INDIA,NR,DL,26829000,7405635
2027,RURAL,INDIA,WR,CG,22516000,5098853
2038,URBAN,INDIA,NR,DL,27260260,7566078
2028,RURAL,INDIA,WR,CG,22631000,5148993
2039,URBAN,INDIA,NR,DL,27698451,7729998
2029,RURAL,INDIA,WR,CG,22745000,5199263
2040,URBAN,INDIA,NR,DL,28143686,7897469
2030,RURAL,INDIA,WR,CG,22857000,5249432
2041,URBAN,INDIA,NR,DL,28596078,8068568
2031,RURAL,INDIA,WR,CG,22965000,5299036
2021,URBAN,INDIA,NR,RJ,20717000,4818592
2032,RURAL,INDIA,WR,CG,23061000,5346208
2022,URBAN,INDIA,NR,RJ,21075000,4956453
2033,RURAL,INDIA,WR,CG,23145000,5390911
2023,URBAN,INDIA,NR,RJ,21420000,5093695
2034,RURAL,INDIA,WR,CG,23229000,5435916
2024,URBAN,INDIA,NR,RJ,21767000,5233861
2035,RURAL,INDIA,WR,CG,23310000,5480520
