Year,AnnualCarrierCost
2021,20814846.77152256
2022,22436650.37274099
2023,23887271.625998914
2024,25121530.965728298
2025,26376438.280191347
2026,27616735.207814846
2027,28951632.301358625
2028,30379816.19565044
2029,32093372.02318289
2030,33808640.826062426
2031,35743743.18749066
