Year,AnnualECTCost
2021,4850202.396148117
2022,5052760.15460449
2023,5344837.126639439
2024,5562156.933364283
2025,5887642.419422604
2026,6086970.713250536
2027,6177850.36407425
2028,6400647.575527072
2029,6579719.113780498
2030,6815157.228663391
2031,6987125.754967321
