Year,AnnualCost
2021,25704494.090780035
2022,27528855.450454842
2023,29271553.675747715
2024,30735065.57967694
2025,32321424.758935813
2026,33762004.600985244
2027,35187781.34535274
2028,36838762.45109738
2029,38731389.81688325
2030,40697618.607302465
2031,42804689.49503462
