Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51377.68058436
2025,57344.059321860004
2026,58298.679919860006
2027,58298.679919860006
2028,58298.679919860006
2029,58298.679919860006
2030,73820.55257664641
2031,73820.55257664641
