Year,AnnualCost
2021,25782739.848058205
2022,27696859.25014753
2023,29519083.943373952
2024,31079225.15938513
2025,32757614.97676762
2026,34288403.51584732
2027,35869084.00845121
2028,37631545.28351399
2029,39866344.492962435
2030,41971124.21583983
2031,44184721.69378924
