Year,AnnualStorageCost
2021,36410.698258608005
2022,36410.698258608005
2023,36410.698258608005
2024,47425.551313608004
2025,52932.977841108004
2026,54478.12728990587
2027,61818.717052972104
2028,72199.04324924186
2029,118302.02615002908
2030,189747.4581578201
2031,189747.4581578201
