Year,AnnualCarrierCost
2021,20894304.879434172
2022,22601819.738869406
2023,24127395.213552672
2024,25448089.46246882
2025,26793330.955187343
2026,28091598.352427363
2027,29508145.360683654
2028,31011882.604867086
2029,32798307.378773887
2030,34586524.15746322
2031,36624803.623373345
