EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DomPECCostInBT_BA
STEAM_COAL,2029,,,,INDIA,NR,306797.0900402851
STEAM_COAL,2029,,,,INDIA,SR,342256.0008385104
STEAM_COAL,2029,,,,INDIA,NER,6202.934203841103
STEAM_COAL,2030,,,,INDIA,ER,1051554.8146752175
STEAM_COAL,2030,,,,INDIA,WR,1279916.056389147
STEAM_COAL,2030,,,,INDIA,NR,341896.7816132328
STEAM_COAL,2030,,,,INDIA,SR,355328.41955082637
STEAM_COAL,2030,,,,INDIA,NER,6730.829678606014
STEAM_COAL,2031,,,,INDIA,ER,1060636.0278365235
STEAM_COAL,2031,,,,INDIA,WR,1366379.3287989506
STEAM_COAL,2031,,,,INDIA,NR,371308.34970258863
STEAM_COAL,2031,,,,INDIA,SR,368947.0640661943
STEAM_COAL,2031,,,,INDIA,NER,8224.704681557185
