EnergyStorTech,Year,ModelGeography,SubGeography1,StorCapacityExistingInYear
FOURHR_BATTERY,2021,INDIA,ER,0.0
FOURHR_BATTERY,2021,INDIA,WR,0.0
FOURHR_BATTERY,2021,INDIA,NR,0.0
FOURHR_BATTERY,2021,INDIA,SR,0.0
FOURHR_BATTERY,2021,INDIA,NER,0.0
FOURHR_BATTERY,2022,INDIA,ER,0.0
FOURHR_BATTERY,2022,INDIA,WR,0.0
FOURHR_BATTERY,2022,INDIA,NR,0.0
FOURHR_BATTERY,2022,INDIA,SR,0.0
FOURHR_BATTERY,2022,INDIA,NER,0.0
FOURHR_BATTERY,2023,INDIA,ER,0.0
FOURHR_BATTERY,2023,INDIA,WR,0.0
FOURHR_BATTERY,2023,INDIA,NR,0.0
FOURHR_BATTERY,2023,INDIA,SR,0.0
FOURHR_BATTERY,2023,INDIA,NER,0.0
FOURHR_BATTERY,2024,INDIA,ER,0.0
FOURHR_BATTERY,2024,INDIA,WR,0.0
FOURHR_BATTERY,2024,INDIA,NR,0.0
FOURHR_BATTERY,2024,INDIA,SR,0.0
FOURHR_BATTERY,2024,INDIA,NER,0.0
FOURHR_BATTERY,2025,INDIA,ER,0.0
FOURHR_BATTERY,2025,INDIA,WR,0.0
FOURHR_BATTERY,2025,INDIA,NR,0.0
FOURHR_BATTERY,2025,INDIA,SR,0.0
FOURHR_BATTERY,2025,INDIA,NER,0.0
FOURHR_BATTERY,2026,INDIA,ER,0.0
FOURHR_BATTERY,2026,INDIA,WR,0.0
FOURHR_BATTERY,2026,INDIA,NR,0.365779364
FOURHR_BATTERY,2026,INDIA,SR,0.0
FOURHR_BATTERY,2026,INDIA,NER,0.0
FOURHR_BATTERY,2027,INDIA,ER,0.064285274
FOURHR_BATTERY,2027,INDIA,WR,0.669714026
FOURHR_BATTERY,2027,INDIA,NR,1.094938984
FOURHR_BATTERY,2027,INDIA,SR,1.699592009
FOURHR_BATTERY,2027,INDIA,NER,0.005869498
FOURHR_BATTERY,2028,INDIA,ER,0.192434183
FOURHR_BATTERY,2028,INDIA,WR,2.0047494919999997
FOURHR_BATTERY,2028,INDIA,NR,2.5484757399999998
FOURHR_BATTERY,2028,INDIA,SR,5.087628574
FOURHR_BATTERY,2028,INDIA,NER,0.017569995
FOURHR_BATTERY,2029,INDIA,ER,0.44789148500000003
FOURHR_BATTERY,2029,INDIA,WR,4.666064062999999
FOURHR_BATTERY,2029,INDIA,NR,5.446015653
FOURHR_BATTERY,2029,INDIA,SR,11.841479919000001
FOURHR_BATTERY,2029,INDIA,NER,0.040894246
FOURHR_BATTERY,2030,INDIA,ER,0.9571305699999999
FOURHR_BATTERY,2030,INDIA,WR,9.971237914
FOURHR_BATTERY,2030,INDIA,NR,11.222090814
FOURHR_BATTERY,2030,INDIA,SR,25.30488479
FOURHR_BATTERY,2030,INDIA,NER,0.087389768
FOURHR_BATTERY,2031,INDIA,ER,0.9571305699999999
FOURHR_BATTERY,2031,INDIA,WR,9.971237913999998
FOURHR_BATTERY,2031,INDIA,NR,11.222090814
FOURHR_BATTERY,2031,INDIA,SR,25.30488479
FOURHR_BATTERY,2031,INDIA,NER,0.087389768
SIXHR_BATTERY,2021,INDIA,ER,0.0
SIXHR_BATTERY,2021,INDIA,WR,0.0
SIXHR_BATTERY,2021,INDIA,NR,0.0
SIXHR_BATTERY,2021,INDIA,SR,0.0
SIXHR_BATTERY,2021,INDIA,NER,0.0
SIXHR_BATTERY,2022,INDIA,ER,0.0
SIXHR_BATTERY,2022,INDIA,WR,0.0
SIXHR_BATTERY,2022,INDIA,NR,0.0
SIXHR_BATTERY,2022,INDIA,SR,0.0
SIXHR_BATTERY,2022,INDIA,NER,0.0
SIXHR_BATTERY,2023,INDIA,ER,0.0
SIXHR_BATTERY,2023,INDIA,WR,0.0
SIXHR_BATTERY,2023,INDIA,NR,0.0
SIXHR_BATTERY,2023,INDIA,SR,0.0
SIXHR_BATTERY,2023,INDIA,NER,0.0
SIXHR_BATTERY,2024,INDIA,ER,0.0
SIXHR_BATTERY,2024,INDIA,WR,0.0
SIXHR_BATTERY,2024,INDIA,NR,0.0
SIXHR_BATTERY,2024,INDIA,SR,0.0
SIXHR_BATTERY,2024,INDIA,NER,0.0
SIXHR_BATTERY,2025,INDIA,ER,0.0
SIXHR_BATTERY,2025,INDIA,WR,0.0
SIXHR_BATTERY,2025,INDIA,NR,0.0
SIXHR_BATTERY,2025,INDIA,SR,0.0
SIXHR_BATTERY,2025,INDIA,NER,0.0
SIXHR_BATTERY,2026,INDIA,ER,0.0
SIXHR_BATTERY,2026,INDIA,WR,0.0
SIXHR_BATTERY,2026,INDIA,NR,0.0
SIXHR_BATTERY,2026,INDIA,SR,0.0
SIXHR_BATTERY,2026,INDIA,NER,0.0
SIXHR_BATTERY,2027,INDIA,ER,0.096427911
SIXHR_BATTERY,2027,INDIA,WR,0.0
SIXHR_BATTERY,2027,INDIA,NR,1.093739431
SIXHR_BATTERY,2027,INDIA,SR,0.0
SIXHR_BATTERY,2027,INDIA,NER,0.008804244999999999
SIXHR_BATTERY,2028,INDIA,ER,0.096427911
SIXHR_BATTERY,2028,INDIA,WR,0.0
SIXHR_BATTERY,2028,INDIA,NR,1.093739431
SIXHR_BATTERY,2028,INDIA,SR,0.0
SIXHR_BATTERY,2028,INDIA,NER,0.008804244999999999
SIXHR_BATTERY,2029,INDIA,ER,0.479613862
SIXHR_BATTERY,2029,INDIA,WR,3.9919718559999997
SIXHR_BATTERY,2029,INDIA,NR,5.440049301
SIXHR_BATTERY,2029,INDIA,SR,10.130777019000002
SIXHR_BATTERY,2029,INDIA,NER,0.043790622
SIXHR_BATTERY,2030,INDIA,ER,1.2434724889999997
SIXHR_BATTERY,2030,INDIA,WR,11.949732632
SIXHR_BATTERY,2030,INDIA,NR,14.10416204
SIXHR_BATTERY,2030,INDIA,SR,18.460435720826386
SIXHR_BATTERY,2030,INDIA,NER,0.113533905
SIXHR_BATTERY,2031,INDIA,ER,1.2434724889999997
SIXHR_BATTERY,2031,INDIA,WR,11.949732632
SIXHR_BATTERY,2031,INDIA,NR,14.10416204
SIXHR_BATTERY,2031,INDIA,SR,18.460435720826386
SIXHR_BATTERY,2031,INDIA,NER,0.113533905
PUMPED_STOR,2021,INDIA,ER,4.5
PUMPED_STOR,2021,INDIA,WR,2.0
PUMPED_STOR,2021,INDIA,NR,0.0
PUMPED_STOR,2021,INDIA,SR,10.028
PUMPED_STOR,2021,INDIA,NER,0.0
PUMPED_STOR,2022,INDIA,ER,4.5
PUMPED_STOR,2022,INDIA,WR,2.0
PUMPED_STOR,2022,INDIA,NR,0.0
PUMPED_STOR,2022,INDIA,SR,10.028
PUMPED_STOR,2022,INDIA,NER,0.0
PUMPED_STOR,2023,INDIA,ER,4.5
PUMPED_STOR,2023,INDIA,WR,2.0
PUMPED_STOR,2023,INDIA,NR,0.0
PUMPED_STOR,2023,INDIA,SR,10.028
PUMPED_STOR,2023,INDIA,NER,0.0
PUMPED_STOR,2024,INDIA,ER,4.5
PUMPED_STOR,2024,INDIA,WR,2.0
PUMPED_STOR,2024,INDIA,NR,5.0
PUMPED_STOR,2024,INDIA,SR,10.028
PUMPED_STOR,2024,INDIA,NER,0.0
PUMPED_STOR,2025,INDIA,ER,4.5
PUMPED_STOR,2025,INDIA,WR,2.0
PUMPED_STOR,2025,INDIA,NR,5.0
PUMPED_STOR,2025,INDIA,SR,12.528
PUMPED_STOR,2025,INDIA,NER,0.0
PUMPED_STOR,2026,INDIA,ER,4.5
PUMPED_STOR,2026,INDIA,WR,2.4
PUMPED_STOR,2026,INDIA,NR,5.0
PUMPED_STOR,2026,INDIA,SR,12.528
PUMPED_STOR,2026,INDIA,NER,0.0
PUMPED_STOR,2027,INDIA,ER,4.5
PUMPED_STOR,2027,INDIA,WR,2.4
PUMPED_STOR,2027,INDIA,NR,5.0
PUMPED_STOR,2027,INDIA,SR,12.528
PUMPED_STOR,2027,INDIA,NER,0.0
PUMPED_STOR,2028,INDIA,ER,4.5
PUMPED_STOR,2028,INDIA,WR,2.4
PUMPED_STOR,2028,INDIA,NR,5.0
PUMPED_STOR,2028,INDIA,SR,12.528
PUMPED_STOR,2028,INDIA,NER,0.0
