ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
URBAN,Q4,INDIA,NER,AS,2031,0.139926044
URBAN,Q5,INDIA,NER,AS,2031,0.298389312
RURAL,Q1,INDIA,NER,NE,2021,0.001812128
RURAL,Q2,INDIA,NER,NE,2021,0.00272828
RURAL,Q3,INDIA,NER,NE,2021,0.003568808
RURAL,Q4,INDIA,NER,NE,2021,0.004936336
RURAL,Q5,INDIA,NER,NE,2021,0.009215041
URBAN,Q1,INDIA,NER,NE,2021,0.007655873
URBAN,Q2,INDIA,NER,NE,2021,0.012853919
URBAN,Q3,INDIA,NER,NE,2021,0.019526374
URBAN,Q4,INDIA,NER,NE,2021,0.028795457
URBAN,Q5,INDIA,NER,NE,2021,0.0518795
RURAL,Q1,INDIA,NER,NE,2022,0.002033545
RURAL,Q2,INDIA,NER,NE,2022,0.003051866
RURAL,Q3,INDIA,NER,NE,2022,0.003967106
RURAL,Q4,INDIA,NER,NE,2022,0.005486201
RURAL,Q5,INDIA,NER,NE,2022,0.010235347
URBAN,Q1,INDIA,NER,NE,2022,0.008513456
URBAN,Q2,INDIA,NER,NE,2022,0.01424733
URBAN,Q3,INDIA,NER,NE,2022,0.021495462
URBAN,Q4,INDIA,NER,NE,2022,0.031665659
URBAN,Q5,INDIA,NER,NE,2022,0.056900398
RURAL,Q1,INDIA,NER,NE,2023,0.002244859
RURAL,Q2,INDIA,NER,NE,2023,0.003359922
RURAL,Q3,INDIA,NER,NE,2023,0.004344543
RURAL,Q4,INDIA,NER,NE,2023,0.006007116
RURAL,Q5,INDIA,NER,NE,2023,0.011201068
URBAN,Q1,INDIA,NER,NE,2023,0.009314123
URBAN,Q2,INDIA,NER,NE,2023,0.015544
URBAN,Q3,INDIA,NER,NE,2023,0.023316414
URBAN,Q4,INDIA,NER,NE,2023,0.034315228
URBAN,Q5,INDIA,NER,NE,2023,0.061515086
RURAL,Q1,INDIA,NER,NE,2024,0.002446619
RURAL,Q2,INDIA,NER,NE,2024,0.003653474
RURAL,Q3,INDIA,NER,NE,2024,0.004702922
RURAL,Q4,INDIA,NER,NE,2024,0.006501607
RURAL,Q5,INDIA,NER,NE,2024,0.012117097
URBAN,Q1,INDIA,NER,NE,2024,0.010061573
URBAN,Q2,INDIA,NER,NE,2024,0.016751187
URBAN,Q3,INDIA,NER,NE,2024,0.025003089
URBAN,Q4,INDIA,NER,NE,2024,0.03676561
URBAN,Q5,INDIA,NER,NE,2024,0.065766629
RURAL,Q1,INDIA,NER,NE,2025,0.00266482
RURAL,Q2,INDIA,NER,NE,2025,0.003970203
RURAL,Q3,INDIA,NER,NE,2025,0.005087879
RURAL,Q4,INDIA,NER,NE,2025,0.007032615
RURAL,Q5,INDIA,NER,NE,2025,0.013099875
URBAN,Q1,INDIA,NER,NE,2025,0.010861751
URBAN,Q2,INDIA,NER,NE,2025,0.018039852
URBAN,Q3,INDIA,NER,NE,2025,0.026793954
URBAN,Q4,INDIA,NER,NE,2025,0.039362997
URBAN,Q5,INDIA,NER,NE,2025,0.070254683
RURAL,Q1,INDIA,NER,NE,2026,0.002902234
RURAL,Q2,INDIA,NER,NE,2026,0.004314001
RURAL,Q3,INDIA,NER,NE,2026,0.005503855
RURAL,Q4,INDIA,NER,NE,2026,0.00760623
RURAL,Q5,INDIA,NER,NE,2026,0.014160477
URBAN,Q1,INDIA,NER,NE,2026,0.011724066
URBAN,Q2,INDIA,NER,NE,2026,0.019424539
URBAN,Q3,INDIA,NER,NE,2026,0.028707822
URBAN,Q4,INDIA,NER,NE,2026,0.042133839
URBAN,Q5,INDIA,NER,NE,2026,0.075021587
RURAL,Q1,INDIA,NER,NE,2027,0.003159911
RURAL,Q2,INDIA,NER,NE,2027,0.004686254
RURAL,Q3,INDIA,NER,NE,2027,0.005952247
RURAL,Q4,INDIA,NER,NE,2027,0.008224341
RURAL,Q5,INDIA,NER,NE,2027,0.015302171
URBAN,Q1,INDIA,NER,NE,2027,0.012650738
URBAN,Q2,INDIA,NER,NE,2027,0.020908149
URBAN,Q3,INDIA,NER,NE,2027,0.030747241
URBAN,Q4,INDIA,NER,NE,2027,0.045080902
URBAN,Q5,INDIA,NER,NE,2027,0.080068426
RURAL,Q1,INDIA,NER,NE,2028,0.003442469
RURAL,Q2,INDIA,NER,NE,2028,0.00509345
RURAL,Q3,INDIA,NER,NE,2028,0.006440474
RURAL,Q4,INDIA,NER,NE,2028,0.008897123
RURAL,Q5,INDIA,NER,NE,2028,0.016543459
URBAN,Q1,INDIA,NER,NE,2028,0.013657797
URBAN,Q2,INDIA,NER,NE,2028,0.022515495
URBAN,Q3,INDIA,NER,NE,2028,0.032944408
URBAN,Q4,INDIA,NER,NE,2028,0.048249516
URBAN,Q5,INDIA,NER,NE,2028,0.085468072
RURAL,Q1,INDIA,NER,NE,2029,0.003752461
RURAL,Q2,INDIA,NER,NE,2029,0.005539073
RURAL,Q3,INDIA,NER,NE,2029,0.006972297
RURAL,Q4,INDIA,NER,NE,2029,0.009629698
RURAL,Q5,INDIA,NER,NE,2029,0.017893441
URBAN,Q1,INDIA,NER,NE,2029,0.014752615
URBAN,Q2,INDIA,NER,NE,2029,0.024257348
URBAN,Q3,INDIA,NER,NE,2029,0.035311891
URBAN,Q4,INDIA,NER,NE,2029,0.051656383
URBAN,Q5,INDIA,NER,NE,2029,0.091243415
RURAL,Q1,INDIA,NER,NE,2030,0.004092717
RURAL,Q2,INDIA,NER,NE,2030,0.006026967
RURAL,Q3,INDIA,NER,NE,2030,0.007551841
RURAL,Q4,INDIA,NER,NE,2030,0.010427676
RURAL,Q5,INDIA,NER,NE,2030,0.019362052
URBAN,Q1,INDIA,NER,NE,2030,0.015943245
URBAN,Q2,INDIA,NER,NE,2030,0.0261454
URBAN,Q3,INDIA,NER,NE,2030,0.037863203
URBAN,Q4,INDIA,NER,NE,2030,0.055319318
URBAN,Q5,INDIA,NER,NE,2030,0.097418325
RURAL,Q1,INDIA,NER,NE,2031,0.004466365
RURAL,Q2,INDIA,NER,NE,2031,0.006561372
RURAL,Q3,INDIA,NER,NE,2031,0.008183634
RURAL,Q4,INDIA,NER,NE,2031,0.011297207
RURAL,Q5,INDIA,NER,NE,2031,0.020960133
URBAN,Q1,INDIA,NER,NE,2031,0.017238487
URBAN,Q2,INDIA,NER,NE,2031,0.028192334
URBAN,Q3,INDIA,NER,NE,2031,0.040612863
URBAN,Q4,INDIA,NER,NE,2031,0.059257285
URBAN,Q5,INDIA,NER,NE,2031,0.104017593
RURAL,Q1,INDIA,ER,JH,2021,0.00083515
RURAL,Q2,INDIA,ER,JH,2021,0.001172044
RURAL,Q3,INDIA,ER,JH,2021,0.001528202
RURAL,Q4,INDIA,ER,JH,2021,0.002044161
RURAL,Q5,INDIA,ER,JH,2021,0.004081185
URBAN,Q1,INDIA,ER,JH,2021,0.017805737
URBAN,Q2,INDIA,ER,JH,2021,0.033078078
URBAN,Q3,INDIA,ER,JH,2021,0.052132306
URBAN,Q4,INDIA,ER,JH,2021,0.07958772
URBAN,Q5,INDIA,ER,JH,2021,0.150021095
RURAL,Q1,INDIA,ER,JH,2022,0.001126362
RURAL,Q2,INDIA,ER,JH,2022,0.00157509
RURAL,Q3,INDIA,ER,JH,2022,0.002038394
RURAL,Q4,INDIA,ER,JH,2022,0.002724212
RURAL,Q5,INDIA,ER,JH,2022,0.005498099
URBAN,Q1,INDIA,ER,JH,2022,0.020719353
URBAN,Q2,INDIA,ER,JH,2022,0.038198839
URBAN,Q3,INDIA,ER,JH,2022,0.059492169
URBAN,Q4,INDIA,ER,JH,2022,0.090107472
URBAN,Q5,INDIA,ER,JH,2022,0.166482854
RURAL,Q1,INDIA,ER,JH,2023,0.001485067
RURAL,Q2,INDIA,ER,JH,2023,0.002070643
RURAL,Q3,INDIA,ER,JH,2023,0.00266353
RURAL,Q4,INDIA,ER,JH,2023,0.003556945
RURAL,Q5,INDIA,ER,JH,2023,0.007238849
URBAN,Q1,INDIA,ER,JH,2023,0.02358107
URBAN,Q2,INDIA,ER,JH,2023,0.043196507
URBAN,Q3,INDIA,ER,JH,2023,0.066622493
URBAN,Q4,INDIA,ER,JH,2023,0.100232481
URBAN,Q5,INDIA,ER,JH,2023,0.182151703
RURAL,Q1,INDIA,ER,JH,2024,0.001923237
