ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration,
RURAL,Q1,INDIA,NER,AS,2021,0.76890516,
RURAL,Q1,INDIA,NR,JK,2021,0.530936674,
RURAL,Q2,INDIA,NER,AS,2021,0.817178086,
RURAL,Q2,INDIA,NR,JK,2021,0.566151166,
RURAL,Q3,INDIA,NER,AS,2021,0.843655728,
RURAL,Q3,INDIA,NR,JK,2021,0.571409824,
RURAL,Q4,INDIA,NER,AS,2021,0.870023836,
RURAL,Q4,INDIA,NR,JK,2021,0.563051185,
RURAL,Q5,INDIA,NER,AS,2021,0.908548385,
RURAL,Q5,INDIA,NR,JK,2021,0.466618778,
URBAN,Q1,INDIA,NER,AS,2021,0.903857973,
URBAN,Q1,INDIA,NR,JK,2021,0.573375121,
URBAN,Q2,INDIA,NER,AS,2021,0.925978259,
URBAN,Q2,INDIA,NR,JK,2021,0.512316738,
URBAN,Q3,INDIA,NER,AS,2021,0.928377643,
URBAN,Q3,INDIA,NR,JK,2021,0.444381525,
URBAN,Q4,INDIA,NER,AS,2021,0.917310519,
URBAN,Q4,INDIA,NR,JK,2021,0.34492072,
URBAN,Q5,INDIA,NER,AS,2021,0.843249932,
URBAN,Q5,INDIA,NR,JK,2021,0.187414826,
RURAL,Q1,INDIA,NER,AS,2022,0.793039117,
RURAL,Q1,INDIA,NR,JK,2022,0.542707325,
RURAL,Q2,INDIA,NER,AS,2022,0.836196718,
RURAL,Q2,INDIA,NR,JK,2022,0.569850778,
RURAL,Q3,INDIA,NER,AS,2022,0.858836488,
RURAL,Q3,INDIA,NR,JK,2022,0.570181999,
RURAL,Q4,INDIA,NER,AS,2022,0.882100351,
RURAL,Q4,INDIA,NR,JK,2022,0.556338947,
RURAL,Q5,INDIA,NER,AS,2022,0.914530755,
RURAL,Q5,INDIA,NR,JK,2022,0.444014311,
URBAN,Q1,INDIA,NER,AS,2022,0.91207038,
URBAN,Q1,INDIA,NR,JK,2022,0.563006791,
URBAN,Q2,INDIA,NER,AS,2022,0.928062568,
URBAN,Q2,INDIA,NR,JK,2022,0.493992884,
URBAN,Q3,INDIA,NER,AS,2022,0.926837633,
URBAN,Q3,INDIA,NR,JK,2022,0.423771616,
URBAN,Q4,INDIA,NER,AS,2022,0.910586002,
URBAN,Q4,INDIA,NR,JK,2022,0.321957458,
URBAN,Q5,INDIA,NER,AS,2022,0.823180071,
URBAN,Q5,INDIA,NR,JK,2022,0.166235001,
RURAL,Q1,INDIA,NER,AS,2023,0.81139064,
RURAL,Q1,INDIA,NR,JK,2023,0.550697907,
RURAL,Q2,INDIA,NER,AS,2023,0.85042216,
RURAL,Q2,INDIA,NR,JK,2023,0.571242586,
RURAL,Q3,INDIA,NER,AS,2023,0.870111794,
RURAL,Q3,INDIA,NR,JK,2023,0.56782486,
RURAL,Q4,INDIA,NER,AS,2023,0.890883111,
RURAL,Q4,INDIA,NR,JK,2023,0.549707545,
RURAL,Q5,INDIA,NER,AS,2023,0.91840204,
RURAL,Q5,INDIA,NR,JK,2023,0.425309494,
URBAN,Q1,INDIA,NER,AS,2023,0.917600945,
URBAN,Q1,INDIA,NR,JK,2023,0.553293018,
URBAN,Q2,INDIA,NER,AS,2023,0.928628861,
URBAN,Q2,INDIA,NR,JK,2023,0.478592052,
URBAN,Q3,INDIA,NER,AS,2023,0.924465373,
URBAN,Q3,INDIA,NR,JK,2023,0.407171801,
URBAN,Q4,INDIA,NER,AS,2023,0.903685057,
URBAN,Q4,INDIA,NR,JK,2023,0.304134809,
URBAN,Q5,INDIA,NER,AS,2023,0.804592264,
URBAN,Q5,INDIA,NR,JK,2023,0.150785317,
RURAL,Q1,INDIA,NER,AS,2024,0.825583143,
RURAL,Q1,INDIA,NR,JK,2024,0.556135791,
RURAL,Q2,INDIA,NER,AS,2024,0.861267534,
RURAL,Q2,INDIA,NR,JK,2024,0.571373546,
RURAL,Q3,INDIA,NER,AS,2024,0.878654265,
RURAL,Q3,INDIA,NR,JK,2024,0.565111053,
RURAL,Q4,INDIA,NER,AS,2024,0.897397973,
RURAL,Q4,INDIA,NR,JK,2024,0.543682483,
RURAL,Q5,INDIA,NER,AS,2024,0.920891092,
RURAL,Q5,INDIA,NR,JK,2024,0.410160774,
URBAN,Q1,INDIA,NER,AS,2024,0.921356425,
URBAN,Q1,INDIA,NR,JK,2024,0.544736298,
URBAN,Q2,INDIA,NER,AS,2024,0.928279673,
URBAN,Q2,INDIA,NR,JK,2024,0.465956049,
URBAN,Q3,INDIA,NER,AS,2024,0.921688333,
URBAN,Q3,INDIA,NR,JK,2024,0.393959387,
URBAN,Q4,INDIA,NER,AS,2024,0.896936803,
URBAN,Q4,INDIA,NR,JK,2024,0.290346082,
URBAN,Q5,INDIA,NER,AS,2024,0.787664315,
URBAN,Q5,INDIA,NR,JK,2024,0.139399994,
RURAL,Q1,INDIA,NER,AS,2025,0.838473873,
RURAL,Q1,INDIA,NR,JK,2025,0.560673696,
RURAL,Q2,INDIA,NER,AS,2025,0.870985204,
RURAL,Q2,INDIA,NR,JK,2025,0.570677009,
RURAL,Q3,INDIA,NER,AS,2025,0.886263031,
RURAL,Q3,INDIA,NR,JK,2025,0.561749489,
RURAL,Q4,INDIA,NER,AS,2025,0.903068064,
RURAL,Q4,INDIA,NR,JK,2025,0.537158352,
RURAL,Q5,INDIA,NER,AS,2025,0.922672078,
RURAL,Q5,INDIA,NR,JK,2025,0.395157233,
URBAN,Q1,INDIA,NER,AS,2025,0.924277575,
URBAN,Q1,INDIA,NR,JK,2025,0.535677621,
URBAN,Q2,INDIA,NER,AS,2025,0.927193543,
URBAN,Q2,INDIA,NR,JK,2025,0.453283013,
URBAN,Q3,INDIA,NER,AS,2025,0.918237074,
URBAN,Q3,INDIA,NR,JK,2025,0.381023405,
URBAN,Q4,INDIA,NER,AS,2025,0.889414782,
URBAN,Q4,INDIA,NR,JK,2025,0.27717259,
URBAN,Q5,INDIA,NER,AS,2025,0.769845026,
URBAN,Q5,INDIA,NR,JK,2025,0.128984941,
RURAL,Q1,INDIA,NER,AS,2026,0.850231527,
