ModelGeography,SubGeography1,SubGeography2,Year,2W+IPT3W+IPT4W+4W+BUS+RAIL
INDIA,ER,BR,2014,6662.5
INDIA,ER,BR,2015,6662.5
INDIA,ER,BR,2016,6662.5
INDIA,ER,BR,2017,6662.5
INDIA,ER,BR,2018,6662.5
INDIA,ER,BR,2019,6662.5
INDIA,ER,BR,2020,6662.5
INDIA,ER,BR,2021,6609.384405398495
INDIA,ER,BR,2022,6556.6922654146065
INDIA,ER,BR,2023,6504.420204131816
INDIA,ER,BR,2024,6452.564872547499
INDIA,ER,BR,2025,6401.1229483583575
INDIA,ER,BR,2026,6350.091135747566
INDIA,ER,BR,2027,6299.4661651736105
INDIA,ER,BR,2028,6249.244793160814
INDIA,ER,BR,2029,6199.423802091531
INDIA,ER,BR,2030,6150
INDIA,ER,BR,2031,6096.720137013801
INDIA,ER,BR,2032,6043.9018583852985
INDIA,ER,BR,2033,5991.541165228095
INDIA,ER,BR,2034,5939.634093299719
INDIA,ER,BR,2035,5888.176712701482
INDIA,ER,BR,2036,5837.165127580952
INDIA,ER,BR,2037,5786.595475836996
INDIA,ER,BR,2038,5736.463928827379
INDIA,ER,BR,2039,5686.766691078892
INDIA,ER,BR,2040,5637.500000000001
INDIA,ER,BR,2041,5588.660125595986
INDIA,ER,JH,2014,6662.5
INDIA,ER,JH,2015,6662.5
INDIA,ER,JH,2016,6662.5
INDIA,ER,JH,2017,6662.5
INDIA,ER,JH,2018,6662.5
INDIA,ER,JH,2019,6662.5
INDIA,ER,JH,2020,6662.5
INDIA,ER,JH,2021,6609.384405398495
INDIA,ER,JH,2022,6556.6922654146065
INDIA,ER,JH,2023,6504.420204131816
INDIA,ER,JH,2024,6452.564872547499
INDIA,ER,JH,2025,6401.1229483583575
INDIA,ER,JH,2026,6350.091135747566
INDIA,ER,JH,2027,6299.4661651736105
INDIA,ER,JH,2028,6249.244793160814
INDIA,ER,JH,2029,6199.423802091531
INDIA,ER,JH,2030,6150
INDIA,ER,JH,2031,6096.720137013801
INDIA,ER,JH,2032,6043.9018583852985
INDIA,ER,JH,2033,5991.541165228095
INDIA,ER,JH,2034,5939.634093299719
INDIA,ER,JH,2035,5888.176712701482
INDIA,ER,JH,2036,5837.165127580952
INDIA,ER,JH,2037,5786.595475836996
INDIA,ER,JH,2038,5736.463928827379
INDIA,ER,JH,2039,5686.766691078892
INDIA,ER,JH,2040,5637.500000000001
INDIA,ER,JH,2041,5588.660125595986
INDIA,ER,OD,2014,6662.5
INDIA,ER,OD,2015,6662.5
INDIA,ER,OD,2016,6662.5
INDIA,ER,OD,2017,6662.5
INDIA,ER,OD,2018,6662.5
INDIA,ER,OD,2019,6662.5
INDIA,ER,OD,2020,6662.5
INDIA,ER,OD,2021,6609.384405398495
INDIA,ER,OD,2022,6556.6922654146065
INDIA,ER,OD,2023,6504.420204131816
INDIA,ER,OD,2024,6452.564872547499
INDIA,ER,OD,2025,6401.1229483583575
INDIA,ER,OD,2026,6350.091135747566
INDIA,ER,OD,2027,6299.4661651736105
INDIA,ER,OD,2028,6249.244793160814
INDIA,ER,OD,2029,6199.423802091531
INDIA,ER,OD,2030,6150
INDIA,ER,OD,2031,6096.720137013801
INDIA,ER,OD,2032,6043.9018583852985
INDIA,ER,OD,2033,5991.541165228095
INDIA,ER,OD,2034,5939.634093299719
INDIA,ER,OD,2035,5888.176712701482
INDIA,ER,OD,2036,5837.165127580952
INDIA,ER,OD,2037,5786.595475836996
INDIA,ER,OD,2038,5736.463928827379
INDIA,ER,OD,2039,5686.766691078892
INDIA,ER,OD,2040,5637.500000000001
INDIA,ER,OD,2041,5588.660125595986
INDIA,ER,SK,2014,6662.5
INDIA,ER,SK,2015,6662.5
INDIA,ER,SK,2016,6662.5
INDIA,ER,SK,2017,6662.5
INDIA,ER,SK,2018,6662.5
INDIA,ER,SK,2019,6662.5
INDIA,ER,SK,2020,6662.5
INDIA,ER,SK,2021,6609.384405398495
INDIA,ER,SK,2022,6556.6922654146065
INDIA,ER,SK,2023,6504.420204131816
INDIA,ER,SK,2024,6452.564872547499
INDIA,ER,SK,2025,6401.1229483583575
INDIA,ER,SK,2026,6350.091135747566
INDIA,ER,SK,2027,6299.4661651736105
INDIA,ER,SK,2028,6249.244793160814
INDIA,ER,SK,2029,6199.423802091531
INDIA,ER,SK,2030,6150
INDIA,ER,SK,2031,6096.720137013801
INDIA,ER,SK,2032,6043.9018583852985
INDIA,ER,SK,2033,5991.541165228095
INDIA,ER,SK,2034,5939.634093299719
INDIA,ER,SK,2035,5888.176712701482
INDIA,ER,SK,2036,5837.165127580952
INDIA,ER,SK,2037,5786.595475836996
INDIA,ER,SK,2038,5736.463928827379
INDIA,ER,SK,2039,5686.766691078892
INDIA,ER,SK,2040,5637.500000000001
INDIA,ER,SK,2041,5588.660125595986
INDIA,ER,WB,2014,6662.5
INDIA,ER,WB,2015,6662.5
INDIA,ER,WB,2016,6662.5
INDIA,ER,WB,2017,6662.5
INDIA,ER,WB,2018,6662.5
INDIA,ER,WB,2019,6662.5
INDIA,ER,WB,2020,6662.5
INDIA,ER,WB,2021,6609.384405398495
INDIA,ER,WB,2022,6556.6922654146065
