Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,89.56494587671827
2022,INDIA,ALL,82.40557645868644
2023,INDIA,ALL,77.59885981850461
2024,INDIA,ALL,73.14836229507765
2025,INDIA,ALL,69.02984694668245
2026,INDIA,ALL,65.18298731974546
2027,INDIA,ALL,61.59891143512339
2028,INDIA,ALL,58.211905373986646
2029,INDIA,ALL,55.011133288018016
2030,INDIA,ALL,51.98635513091796
2031,INDIA,ALL,49.12789390799973
