Year,ModelGeography,EnergyDemand
2021,INDIA,909.1606158383502
2022,INDIA,1012.3906528460572
2023,INDIA,1094.595019139994
2024,INDIA,1180.2371780702254
2025,INDIA,1269.077958282792
2026,INDIA,1361.7376384421011
2027,INDIA,1457.875735263361
2028,INDIA,1558.742632634564
2029,INDIA,1664.431354101112
2030,INDIA,1775.0290792979604
2031,INDIA,1890.6168409427987
