ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
TV,RURAL,INDIA,NER,NE,2037,1
TV,RURAL,INDIA,NER,NE,2038,1
TV,RURAL,INDIA,NER,NE,2039,1
TV,RURAL,INDIA,NER,NE,2040,1
TV,RURAL,INDIA,NER,NE,2041,1
TV,RURAL,INDIA,SR,AP,2024,1
TV,RURAL,INDIA,SR,AP,2025,1
TV,RURAL,INDIA,SR,AP,2026,1
TV,RURAL,INDIA,SR,AP,2027,1
TV,RURAL,INDIA,SR,AP,2028,1
TV,RURAL,INDIA,SR,AP,2029,1
TV,RURAL,INDIA,SR,AP,2030,1
TV,RURAL,INDIA,SR,AP,2031,1
TV,RURAL,INDIA,SR,AP,2032,1
TV,RURAL,INDIA,SR,AP,2033,1
TV,RURAL,INDIA,SR,AP,2034,1
TV,RURAL,INDIA,SR,AP,2035,1
TV,RURAL,INDIA,SR,AP,2036,1
TV,RURAL,INDIA,SR,AP,2037,1
TV,RURAL,INDIA,SR,AP,2038,1
TV,RURAL,INDIA,SR,AP,2039,1
TV,RURAL,INDIA,SR,AP,2040,1
TV,RURAL,INDIA,SR,AP,2041,1
TV,RURAL,INDIA,SR,KA,2024,1
TV,RURAL,INDIA,SR,KA,2025,1
TV,RURAL,INDIA,SR,KA,2026,1
TV,RURAL,INDIA,SR,KA,2027,1
TV,RURAL,INDIA,SR,KA,2028,1
TV,RURAL,INDIA,SR,KA,2029,1
TV,RURAL,INDIA,SR,KA,2030,1
TV,RURAL,INDIA,SR,KA,2031,1
TV,RURAL,INDIA,SR,KA,2032,1
TV,RURAL,INDIA,SR,KA,2033,1
TV,RURAL,INDIA,SR,KA,2034,1
TV,RURAL,INDIA,SR,KA,2035,1
TV,RURAL,INDIA,SR,KA,2036,1
TV,RURAL,INDIA,SR,KA,2037,1
TV,RURAL,INDIA,SR,KA,2038,1
TV,RURAL,INDIA,SR,KA,2039,1
TV,RURAL,INDIA,SR,KA,2040,1
TV,RURAL,INDIA,SR,KA,2041,1
TV,RURAL,INDIA,SR,KL,2024,1
TV,RURAL,INDIA,SR,KL,2025,1
TV,RURAL,INDIA,SR,KL,2026,1
TV,RURAL,INDIA,SR,KL,2027,1
TV,RURAL,INDIA,SR,KL,2028,1
TV,RURAL,INDIA,SR,KL,2029,1
TV,RURAL,INDIA,SR,KL,2030,1
TV,RURAL,INDIA,SR,KL,2031,1
TV,RURAL,INDIA,SR,KL,2032,1
TV,RURAL,INDIA,SR,KL,2033,1
TV,RURAL,INDIA,SR,KL,2034,1
TV,RURAL,INDIA,SR,KL,2035,1
TV,RURAL,INDIA,SR,KL,2036,1
TV,RURAL,INDIA,SR,KL,2037,1
TV,RURAL,INDIA,SR,KL,2038,1
TV,RURAL,INDIA,SR,KL,2039,1
TV,RURAL,INDIA,SR,KL,2040,1
TV,RURAL,INDIA,SR,KL,2041,1
TV,RURAL,INDIA,SR,TN,2024,1
TV,RURAL,INDIA,SR,TN,2025,1
TV,RURAL,INDIA,SR,TN,2026,1
TV,RURAL,INDIA,SR,TN,2027,1
TV,RURAL,INDIA,SR,TN,2028,1
TV,RURAL,INDIA,SR,TN,2029,1
TV,RURAL,INDIA,SR,TN,2030,1
TV,RURAL,INDIA,SR,TN,2031,1
TV,RURAL,INDIA,SR,TN,2032,1
TV,RURAL,INDIA,SR,TN,2033,1
TV,RURAL,INDIA,SR,TN,2034,1
TV,RURAL,INDIA,SR,TN,2035,1
TV,RURAL,INDIA,SR,TN,2036,1
TV,RURAL,INDIA,SR,TN,2037,1
TV,RURAL,INDIA,SR,TN,2038,1
TV,RURAL,INDIA,SR,TN,2039,1
TV,RURAL,INDIA,SR,TN,2040,1
TV,RURAL,INDIA,SR,TN,2041,1
TV,RURAL,INDIA,SR,TS,2024,1
TV,RURAL,INDIA,SR,TS,2025,1
TV,RURAL,INDIA,SR,TS,2026,1
TV,RURAL,INDIA,SR,TS,2027,1
TV,RURAL,INDIA,SR,TS,2028,1
TV,RURAL,INDIA,SR,TS,2029,1
TV,RURAL,INDIA,SR,TS,2030,1
TV,RURAL,INDIA,SR,TS,2031,1
TV,RURAL,INDIA,SR,TS,2032,1
TV,RURAL,INDIA,SR,TS,2033,1
TV,RURAL,INDIA,SR,TS,2034,1
TV,RURAL,INDIA,SR,TS,2035,1
TV,RURAL,INDIA,SR,TS,2036,1
TV,RURAL,INDIA,SR,TS,2037,1
TV,RURAL,INDIA,SR,TS,2038,1
TV,RURAL,INDIA,SR,TS,2039,1
TV,RURAL,INDIA,SR,TS,2040,1
TV,RURAL,INDIA,SR,TS,2041,1
TV,RURAL,INDIA,NR,DL,2024,1
TV,RURAL,INDIA,NR,DL,2025,1
TV,RURAL,INDIA,NR,DL,2026,1
TV,RURAL,INDIA,NR,DL,2027,1
TV,RURAL,INDIA,NR,DL,2028,1
TV,RURAL,INDIA,NR,DL,2029,1
TV,RURAL,INDIA,NR,DL,2030,1
TV,RURAL,INDIA,NR,DL,2031,1
TV,RURAL,INDIA,NR,DL,2032,1
TV,RURAL,INDIA,NR,DL,2033,1
TV,RURAL,INDIA,NR,DL,2034,1
TV,RURAL,INDIA,NR,DL,2035,1
TV,RURAL,INDIA,NR,DL,2036,1
TV,RURAL,INDIA,NR,DL,2037,1
TV,RURAL,INDIA,NR,DL,2038,1
TV,RURAL,INDIA,NR,DL,2039,1
TV,RURAL,INDIA,NR,DL,2040,1
TV,RURAL,INDIA,NR,DL,2041,1
TV,RURAL,INDIA,NR,HR,2024,1
TV,RURAL,INDIA,NR,HR,2025,1
TV,RURAL,INDIA,NR,HR,2026,1
TV,RURAL,INDIA,NR,HR,2027,1
TV,RURAL,INDIA,NR,HR,2028,1
TV,RURAL,INDIA,NR,HR,2029,1
TV,RURAL,INDIA,NR,HR,2030,1
TV,RURAL,INDIA,NR,HR,2031,1
TV,RURAL,INDIA,NR,HR,2032,1
TV,RURAL,INDIA,NR,HR,2033,1
TV,RURAL,INDIA,NR,HR,2034,1
TV,RURAL,INDIA,NR,HR,2035,1
TV,RURAL,INDIA,NR,HR,2036,1
TV,RURAL,INDIA,NR,HR,2037,1
TV,RURAL,INDIA,NR,HR,2038,1
TV,RURAL,INDIA,NR,HR,2039,1
TV,RURAL,INDIA,NR,HR,2040,1
TV,RURAL,INDIA,NR,HR,2041,1
TV,RURAL,INDIA,NR,HP,2024,1
TV,RURAL,INDIA,NR,HP,2025,1
TV,RURAL,INDIA,NR,HP,2026,1
TV,RURAL,INDIA,NR,HP,2027,1
TV,RURAL,INDIA,NR,HP,2028,1
TV,RURAL,INDIA,NR,HP,2029,1
TV,RURAL,INDIA,NR,HP,2030,1
TV,RURAL,INDIA,NR,HP,2031,1
TV,RURAL,INDIA,NR,HP,2032,1
TV,RURAL,INDIA,NR,HP,2033,1
TV,RURAL,INDIA,NR,HP,2034,1
TV,RURAL,INDIA,NR,HP,2035,1
TV,RURAL,INDIA,NR,HP,2036,1
TV,RURAL,INDIA,NR,HP,2037,1
TV,RURAL,INDIA,NR,HP,2038,1
TV,RURAL,INDIA,NR,HP,2039,1
TV,RURAL,INDIA,NR,HP,2040,1
TV,RURAL,INDIA,NR,HP,2041,1
