ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,ER,SK,2014,BUS,BUS_E,0
INDIA,ER,SK,2014,BUS,BUS_HSD,1
INDIA,ER,SK,2014,BUS,BUS_NATGAS,0
INDIA,SR,AP,2015,BUS,BUS_E,0
INDIA,SR,AP,2015,BUS,BUS_HSD,1
INDIA,SR,AP,2015,BUS,BUS_NATGAS,0
INDIA,NER,AS,2015,BUS,BUS_E,0
INDIA,NER,AS,2015,BUS,BUS_HSD,1
INDIA,NER,AS,2015,BUS,BUS_NATGAS,0
INDIA,ER,BR,2015,BUS,BUS_E,0
INDIA,ER,BR,2015,BUS,BUS_HSD,1
INDIA,ER,BR,2015,BUS,BUS_NATGAS,0
INDIA,WR,CG,2015,BUS,BUS_E,0
INDIA,WR,CG,2015,BUS,BUS_HSD,1
INDIA,WR,CG,2015,BUS,BUS_NATGAS,0
INDIA,NR,DL,2015,BUS,BUS_E,0
INDIA,NR,DL,2015,BUS,BUS_HSD,1
INDIA,NR,DL,2015,BUS,BUS_NATGAS,0
INDIA,WR,GA,2015,BUS,BUS_E,0
INDIA,WR,GA,2015,BUS,BUS_HSD,1
INDIA,WR,GA,2015,BUS,BUS_NATGAS,0
INDIA,WR,GJ,2015,BUS,BUS_E,0
INDIA,WR,GJ,2015,BUS,BUS_HSD,1
INDIA,WR,GJ,2015,BUS,BUS_NATGAS,0
INDIA,NR,HP,2015,BUS,BUS_E,0
INDIA,NR,HP,2015,BUS,BUS_HSD,1
INDIA,NR,HP,2015,BUS,BUS_NATGAS,0
INDIA,NR,HR,2015,BUS,BUS_E,0
INDIA,NR,HR,2015,BUS,BUS_HSD,1
INDIA,NR,HR,2015,BUS,BUS_NATGAS,0
INDIA,ER,JH,2015,BUS,BUS_E,0
INDIA,ER,JH,2015,BUS,BUS_HSD,1
INDIA,ER,JH,2015,BUS,BUS_NATGAS,0
INDIA,NR,JK,2015,BUS,BUS_E,0
INDIA,NR,JK,2015,BUS,BUS_HSD,1
INDIA,NR,JK,2015,BUS,BUS_NATGAS,0
INDIA,SR,KA,2015,BUS,BUS_E,0
INDIA,SR,KA,2015,BUS,BUS_HSD,1
INDIA,SR,KA,2015,BUS,BUS_NATGAS,0
INDIA,SR,KL,2015,BUS,BUS_E,0
INDIA,SR,KL,2015,BUS,BUS_HSD,1
INDIA,SR,KL,2015,BUS,BUS_NATGAS,0
INDIA,WR,MH,2015,BUS,BUS_E,0
INDIA,WR,MH,2015,BUS,BUS_HSD,1
INDIA,WR,MH,2015,BUS,BUS_NATGAS,0
INDIA,WR,MP,2015,BUS,BUS_E,0
INDIA,WR,MP,2015,BUS,BUS_HSD,1
INDIA,WR,MP,2015,BUS,BUS_NATGAS,0
INDIA,NER,NE,2015,BUS,BUS_E,0
INDIA,NER,NE,2015,BUS,BUS_HSD,1
INDIA,NER,NE,2015,BUS,BUS_NATGAS,0
INDIA,ER,OD,2015,BUS,BUS_E,0
INDIA,ER,OD,2015,BUS,BUS_HSD,1
INDIA,ER,OD,2015,BUS,BUS_NATGAS,0
INDIA,NR,PB,2015,BUS,BUS_E,0
INDIA,NR,PB,2015,BUS,BUS_HSD,1
INDIA,NR,PB,2015,BUS,BUS_NATGAS,0
INDIA,NR,RJ,2015,BUS,BUS_E,0
INDIA,NR,RJ,2015,BUS,BUS_HSD,1
INDIA,NR,RJ,2015,BUS,BUS_NATGAS,0
INDIA,SR,TN,2015,BUS,BUS_E,0
INDIA,SR,TN,2015,BUS,BUS_HSD,1
INDIA,SR,TN,2015,BUS,BUS_NATGAS,0
INDIA,SR,TS,2015,BUS,BUS_E,0
INDIA,SR,TS,2015,BUS,BUS_HSD,1
INDIA,SR,TS,2015,BUS,BUS_NATGAS,0
INDIA,NR,UK,2015,BUS,BUS_E,0
INDIA,NR,UK,2015,BUS,BUS_HSD,1
INDIA,NR,UK,2015,BUS,BUS_NATGAS,0
INDIA,NR,UP,2015,BUS,BUS_E,0
INDIA,NR,UP,2015,BUS,BUS_HSD,1
INDIA,NR,UP,2015,BUS,BUS_NATGAS,0
INDIA,ER,WB,2015,BUS,BUS_E,0
INDIA,ER,WB,2015,BUS,BUS_HSD,1
INDIA,ER,WB,2015,BUS,BUS_NATGAS,0
INDIA,ER,SK,2015,BUS,BUS_E,0
INDIA,ER,SK,2015,BUS,BUS_HSD,1
INDIA,ER,SK,2015,BUS,BUS_NATGAS,0
INDIA,SR,AP,2016,BUS,BUS_E,0
INDIA,SR,AP,2016,BUS,BUS_HSD,1
INDIA,SR,AP,2016,BUS,BUS_NATGAS,0
INDIA,NER,AS,2016,BUS,BUS_E,0
INDIA,NER,AS,2016,BUS,BUS_HSD,1
INDIA,NER,AS,2016,BUS,BUS_NATGAS,0
INDIA,ER,BR,2016,BUS,BUS_E,0
INDIA,ER,BR,2016,BUS,BUS_HSD,1
INDIA,ER,BR,2016,BUS,BUS_NATGAS,0
INDIA,WR,CG,2016,BUS,BUS_E,0
INDIA,WR,CG,2016,BUS,BUS_HSD,1
INDIA,WR,CG,2016,BUS,BUS_NATGAS,0
INDIA,NR,DL,2016,BUS,BUS_E,0
INDIA,NR,DL,2016,BUS,BUS_HSD,1
INDIA,NR,DL,2016,BUS,BUS_NATGAS,0
INDIA,WR,GA,2016,BUS,BUS_E,0
INDIA,WR,GA,2016,BUS,BUS_HSD,1
INDIA,WR,GA,2016,BUS,BUS_NATGAS,0
INDIA,WR,GJ,2016,BUS,BUS_E,0
INDIA,WR,GJ,2016,BUS,BUS_HSD,1
INDIA,WR,GJ,2016,BUS,BUS_NATGAS,0
INDIA,NR,HP,2016,BUS,BUS_E,0
INDIA,NR,HP,2016,BUS,BUS_HSD,1
INDIA,NR,HP,2016,BUS,BUS_NATGAS,0
INDIA,NR,HR,2016,BUS,BUS_E,0
INDIA,NR,HR,2016,BUS,BUS_HSD,1
INDIA,NR,HR,2016,BUS,BUS_NATGAS,0
INDIA,ER,JH,2016,BUS,BUS_E,0
INDIA,ER,JH,2016,BUS,BUS_HSD,1
INDIA,ER,JH,2016,BUS,BUS_NATGAS,0
INDIA,NR,JK,2016,BUS,BUS_E,0
INDIA,NR,JK,2016,BUS,BUS_HSD,1
INDIA,NR,JK,2016,BUS,BUS_NATGAS,0
INDIA,SR,KA,2016,BUS,BUS_E,0
INDIA,SR,KA,2016,BUS,BUS_HSD,1
INDIA,SR,KA,2016,BUS,BUS_NATGAS,0
INDIA,SR,KL,2016,BUS,BUS_E,0
INDIA,SR,KL,2016,BUS,BUS_HSD,1
INDIA,SR,KL,2016,BUS,BUS_NATGAS,0
INDIA,WR,MH,2016,BUS,BUS_E,0
INDIA,WR,MH,2016,BUS,BUS_HSD,1
INDIA,WR,MH,2016,BUS,BUS_NATGAS,0
INDIA,WR,MP,2016,BUS,BUS_E,0
